"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","3.5.2"
"acepack","acepack","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"actuar","actuar","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.3-1",NA,"R (>= 3.3.0)","stats, graphics, expint","expint","MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"AdequacyModel","AdequacyModel","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.0.0",NA,NA,"methods, stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.2"
"ADGofTest","ADGofTest","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.5.2"
"antiword","antiword","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3",NA,NA,"sys (>= 2.0)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"askpass","askpass","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"assertthat","assertthat","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"available","available","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.4",NA,"R (>= 3.3.0)","cli, clisymbols, crayon, tidytext, desc, glue, jsonlite,
memoise, SnowballC, stringdist, tibble, udapi, yesno",NA,"usethis, BiocInstaller, BiocManager, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"backports","backports","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.4",NA,"R (>= 3.0.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"base64enc","base64enc","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.2"
"BH","BH","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.69.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","3.5.2"
"bibtex","bibtex","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4.2",NA,"R (>= 3.0.2)","stringr, utils",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"bit","bit","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1-14",NA,"R (>= 2.9.2)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.2"
"bit64","bit64","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9-7",NA,"R (>= 3.0.1), bit (>= 1.1-12), utils, methods, stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.2"
"bitops","bitops","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-6",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.2"
"blob","blob","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.0",NA,NA,"methods, prettyunits, rlang, vctrs (>= 0.2.0)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"boot","boot","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3-23","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","3.5.3"
"BradleyTerry2","BradleyTerry2","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1-0",NA,"R (>= 2.10)","brglm, gtools, lme4 (>= 1.0), qvcalc, stats",NA,"prefmod","gnm","GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"brew","brew","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-6",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.2"
